id,intercalibration_id,ic_analysis_id
665,26984,5263
666,26984,5282
667,26985,4578
668,26985,4582
669,26985,4583
670,26985,4584
671,26985,4585
672,26985,4610
673,26985,4626
674,26985,4640
675,26985,4656
676,26985,4660
677,26985,4662
678,26985,5186
679,26985,5203
680,26985,5213
681,26985,5231
682,26985,5247
683,26985,5263
684,26985,5282
685,26986,4578
686,26986,4582
687,26986,4583
688,26986,4584
689,26986,4585
690,26986,4610
691,26986,4626
692,26986,4640
693,26986,4656
694,26986,4660
695,26986,4662
696,26986,5186
697,26986,5203
698,26986,5213
699,26986,5231
700,26986,5247
701,26986,5263
702,26986,5282
703,26987,4578
704,26987,4582
705,26987,4583
706,26987,4584
707,26987,4585
708,26987,4610
709,26987,4626
710,26987,4640
711,26987,4656
712,26987,4660
713,26987,4662
714,26987,5186
715,26987,5203
716,26987,5213
717,26987,5231
718,26987,5247
719,26987,5263
720,26987,5282
721,26988,4578
722,26988,4582
723,26988,4583
724,26988,4584
725,26988,4585
726,26988,4610
727,26988,4626
728,26988,4640
729,26988,4656
730,26988,4660
731,26988,4662
732,26988,5186
733,26988,5203
734,26988,5213
735,26988,5231
736,26988,5247
737,26988,5263
738,26988,5282
739,26989,4578
740,26989,4582
741,26989,4583
742,26989,4584
743,26989,4585
744,26989,4610
745,26989,4626
746,26989,4640
747,26989,4656
748,26989,4660
749,26989,4662
750,26989,5186
751,26989,5203
752,26989,5213
753,26989,5231
754,26989,5247
755,26989,5263
756,26989,5282
757,26990,4578
758,26990,4582
759,26990,4583
760,26990,4584
761,26990,4585
762,26990,4610
763,26990,4626
764,26990,4640
765,26990,4656
766,26990,4660
767,26990,4662
768,26990,5186
769,26990,5203
770,26990,5213
771,26990,5231
772,26990,5247
773,26990,5263
774,26990,5282
775,26991,4578
776,26991,4582
777,26991,4583
778,26991,4584
779,26991,4585
780,26991,4610
781,26991,4626
782,26991,4640
783,26991,4656
784,26991,4660
785,26991,4662
786,26991,5186
787,26991,5203
788,26991,5213
789,26991,5231
790,26991,5247
791,26991,5263
792,26991,5282
793,26992,4578
794,26992,4582
795,26992,4583
796,26992,4584
797,26992,4585
798,26992,4610
799,26992,4626
800,26992,4640
801,26992,4656
802,26992,4660
803,26992,4662
804,26992,5186
805,26992,5203
806,26992,5213
807,26992,5231
808,26992,5247
809,26992,5263
810,26992,5282
811,26993,4578
812,26993,4582
813,26993,4583
814,26993,4584
815,26993,4585
816,26993,4610
817,26993,4626
818,26993,4640
819,26993,4656
820,26993,4660
821,26993,4662
822,26993,5186
823,26993,5203
824,26993,5213
825,26993,5231
826,26993,5247
827,26993,5263
828,26993,5282
